node,question,target,data_scope,baseline,null,primary_metric,gate,result,claim_class,robustness,supported_claim,unsupported_claim,next_route_meaning,main_artifact,figure_candidate,source_provenance,decision_exists,summary_exists
4085b,What does the 4085/4086 signal look like in compactness-T1 phase-space projection?,diagnostic phase-space projection of T1,408x diagnostic samples,visual/metric projection,diagnostic only; not attractor evidence,projection supports signed diffuse near-pre separation,"diagnostic visualization, no confirmatory mechanism gate",diagnostic_phase_space_supports_signed_diffuse_near_pre_separation,BOUNDARY,diagnostic projection only,Phase-space projection is useful for visualization of signed diffuse separation.,"attractor, limit cycle, or basin transition evidence",route to 4087/4088 synthesis,Output/4085b/decision.json,supplement,decision_json,True,True
4086,Is the near-pre diffuse T1 profile mirrored or one-direction dominated?,signed low-to-high/high-to-low T1 structure,robust survivor observations,signed transition direction decomposition,signed gate,"6/14 mirror, 3/14 low-to-high dominant, 4/14 no signed gate",signed consistency,boundary_signed_direction_heterogeneous_across_observations,BOUNDARY,signed structure exists but heterogeneous,Signed event-type structure is heterogeneous across observations.,universal signed force or mirror law,synthesize bounded 408x result,Output/4086/4086_summary.md,supplement,decision_json,True,True
4087,Do the non-survival observations remain failures under predefined sensitivity checks?,Ob1/Ob3/Ob6/Ob8 failure boundary,4 non-survival observations,predefined sensitivity families,definition/window artifact audit,Ob1/Ob3 fragile boundary cases; Ob6/Ob8 stable failures,robust rescue or stable failure,boundary_failure_group_mostly_stable_with_fragile_rescues,BOUNDARY,explicit failure and fragile-rescue classes,The failure boundary is explicit but not perfectly sharp.,all failures are artifacts or all can be merged into survivor class,enter 4088 synthesis,Output/4087/4087_summary.md,yes,decision_json,True,True
4088,What bounded Route A claim remains after 4080-4087?,T1 local tangential non-affine residual,all_19_observations with survivor/failure classes,local affine geometry and route-specific gates,synthesis of 408x nulls/gates,bounded claim with robust survivors and explicit failures,synthesis claim strength,bounded_local_nonaffine_tangential_signal_with_explicit_failure_boundary,SUPPORTED_WITH_BOUNDARY,"14/15 survivor robustness; Ob1/Ob3 fragile, Ob6/Ob8 stable failures",Most observations contain a transition-linked local non-affine tangential residual.,"causal trigger, propagation, attractor, universal law",freeze T1 and test reductions,Output/4088/decision.json,yes,decision_json,True,True
4090A,"Does T1 strength mainly track observation regime, raw/event quality, or known metadata?",observation-level T1 strength,all_19_observations,known raw/event covariates,observation-regime boundary audit,early-observation proxy noted; no confirmed raw/event covariate,artifact/regime stop or proceed,R1_unconfirmed_observation_sequence_proxy,BOUNDARY,metadata incomplete,Observation identity and early-observation proxy remain explicit boundaries.,confirmed batch artifact or causal metadata explanation,proceed with grouped validation and heterogeneity caution,Output/4090A/4090A_summary.md,supplement,decision_json,True,True
4090B,Are vector-level residual samples and continuous compact-density state available?,"T1 vector samples and C,dCdt state",all_19_observations,technical feasibility,availability/QC,"vector samples and C,dCdt available; residual unit boundary recorded",technical feasibility,B1_vector_available_with_unit_boundary_and_C_available,TECHNICAL_PASS,unit boundary: focal-neighborhood neighbor residual vector,4090 can test current-state moment closure with explicit residual-unit caveat.,unique focal-individual residual vector,enter 4090,Output/4090B/4090B_summary.md,no,decision_json,True,True
4090,"Does C,dCdt,R organize T1 as first or second moment structure?",signed_tan_projection and log_tan_energy,all_19_observations,radius-only binned model,"within-observation circular shift of C,dCdt",first moment median incremental R2 -0.00063; second moment -0.00062,grouped OOS improvement and shifted-state separation,transition_linked_but_not_lowdimensional_state_conditioned,NOT_SUPPORTED,leave-one-observation-out; shifted-state null,"A simple C,dCdt,R-conditioned first/second moment closure is not stable.",stochastic dynamics do not matter; all state dependence is absent,synthesize negative reduction boundary,Output/4090/decision.json,yes,decision_json,True,True
4094,What bounded stochastic-negative claim remains after 4090?,T1 low-dimensional moment closure,all_19_observations,4090 grouped OOS models,shifted-state null and residual-unit caveats,synthesis of failed first/second moment gates,bounded negative synthesis,bounded_stochastic_negative_result_after_4090,NOT_SUPPORTED,"bounded to tested C,dCdt,R moment closure",T1 is not stably reduced by the tested low-dimensional moment closure.,all stochastic or Langevin explanations are impossible,route to event-local/state-matched tests,Output/4094/decision.json,yes,decision_json,True,True
4100A,Can a unique focal-centered activity unit be constructed before event-locality tests?,A_i(t) focal-centered local non-affine tangential activity,all_19_observations,unique focal activity rows and overlap audit,technical coverage/QC,uniqueness_ok true; coverage_ok true; ref_good 10/14,unique focal aggregate with overlap boundary,pass_unique_focal_activity_with_overlap_boundary,TECHNICAL_PASS,underlying neighbor overlap remains nontrivial,Use focal aggregate A_i(t)/A_swarm_tangential_z for later state/event tests.,raw overlapping neighbor vectors are safe for spatial correlation,enter 4100,Output/4100A/decision.json,supplement,decision_json,True,True
4100,"Do true transition timestamps contain extra T1 beyond matched C,dCdt,R state?",near-pre A_swarm_tangential_z,all_19_observations,same-observation state-matched non-event controls,within-observation shifted event times,median delta -0.0329 z; same-direction 0.421; real beats shifted null 0.275,"effect, direction, null, and matching-quality gates",fail_event_timing_not_beyond_continuous_state,NOT_SUPPORTED,matching quality passed; event-local effect failed,"True transition timestamp adds no robust near-pre excess beyond matched C,dCdt,R state.",transitions have no special dynamics; propagation does not exist,stop burst/propagation route and synthesize,Output/4100/decision.json,yes,decision_json,True,True
4105,What bounded claim remains after 4100 fails event-locality?,T1 event-locality route,all_19_observations,4100 state-matched controls,4100 shifted-event null,T0 synthesis,technical synthesis,T0_no_event_local_information_beyond_matched_continuous_state,NOT_SUPPORTED,bounded to event-timestamp route,T1 is transition-linked but not event-timing-specific after state matching.,burst propagation has been confirmatorily tested,pause 410x and optionally reframe around state paths,Output/4105/decision.json,yes,decision_json,True,True
4120,Can recent C-R state-path features be measured for history tests?,recent C-R path features,all_19_observations,feature coverage and derivative stability,technical leakage audit,19/19 path coverage >=0.90; 19/19 theta valid >=0.90; max leakage |rho| 0.894,state-path feature feasibility,pass_state_path_features_feasible_with_leakage_audit,TECHNICAL_PASS,history-current leakage requires strict matching,Recent C-R path features are measurable.,history dependence of T1,enter 4121 with current-state matching,Output/4120/decision.json,supplement,decision_json,True,True
4121,"With same current state, do different recent path directions separate T1?",A_swarm_tangential_z conditioned on h500_theta_h,all_19_observations,same-observation current-state matched frame pairs,within-observation theta_h shuffle with pair recomputation,19/19 sufficient; median abs effect 0.0763 z; direction consistency 0.526,"matched coverage, effect size, direction consistency, shuffled-history null",boundary_observation_specific_history_dependence,BOUNDARY,14/19 beat shuffled-null median; sign/order flips 9 positive vs 10 negative,Recent path direction gives observation-specific T1 separation.,universal recent-history rule or causal memory mechanism,route to 4125; do not enter confirmatory 4122/4123,Output/4121/decision.json,yes,decision_json,True,True
4125,What bounded state-path/history claim remains after 4121?,state-path/history route,all_19_observations,4120/4121 gates,shuffled-history boundary,P1 observation-specific history dependence boundary,technical synthesis,P1_observation_specific_history_dependence_boundary,BOUNDARY,not stable as universal direction/order,The recent-history route is a bounded observation-specific result.,"approach/departure hysteresis, OOS history gain, network propagation",stop 412x confirmatory route and enter 413x synthesis,Output/4125/decision.json,yes,decision_json,True,True
