definition,paper_location,code_location,config_location,actual_numeric_value,frozen,notes
second robust-z,mypaper2/Latex/Part3/03_methods_affine_reduction_and_controls_v2.tex:20,Experiment/run_4081_global_vs_local_geometry_ladder.py:316,Experiment/run_4081_global_vs_local_geometry_ladder.py,robust-z of detrended local metric,yes,"The manuscript should keep this as preprocessing, not as a mechanism."
transition-label source,mypaper2/Latex/Part2/02_data_t1_observable_v2.tex:25,Experiment/run_3045_residual_event_trigger_search.py:149,Output/3045/tables/transition_events.csv,low/high spectral_set inherited from 3032b via 3041/3041b into 3045,yes,Full reconstruction chain is documented in spectral_set_provenance.md.
transition persistence,mypaper2/Latex/Part2/02_data_t1_observable_v2.tex:27,Experiment/run_3045_residual_event_trigger_search.py:58,Output/3045/tables/transition_events.csv,preceding and following low/high runs each >= 0.20 s; event time is first frame of new run,yes,Transition types are low_to_high and high_to_low.
non-event exclusion,mypaper2/Latex/Part3/03_methods_affine_reduction_and_controls_v2.tex:28,Experiment/run_4081c_full_observation_adjudication.py:436,Output/4081c/decision.json,control center at least 0.80 s away from real transition times,yes,4141 should preserve this rule inside every null replicate.
non-event replicate count,mypaper2/Latex/Part3/03_methods_affine_reduction_and_controls_v2.tex:29,Experiment/run_4081c_full_observation_adjudication.py:434,Output/4081c/decision.json,40,yes-current-result,This is enough for current exploratory survival calls but not for 4141 final omnibus calibration.
survival gate thresholds,mypaper2/Latex/Part3/03_methods_affine_reduction_and_controls_v2.tex:pattern_not_found,Experiment/run_4081c_full_observation_adjudication.py:223,Output/4081c/full_geometry_ladder_rows.csv,local_event_minus_non_event_direction_z > 0.03; p_non_event_direction_ge_event <= 0.35; local_to_b3_direction_ratio >= 0.30,yes,Both-scale support requires the same observation to pass the per-scale gate at k=8 and k=10.
main support counts,mypaper2/Latex/00_abstract.tex:9,Output/4081c/decision.json,Output/4081c/ob_route_a_classification.csv,N_both=14/19; N_any=15/19,yes,"Both-scale obs=[2, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]; any-scale obs=[2, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]."
scale/lag sensitivity grid,mypaper2/Latex/00_abstract.tex:11,Experiment/run_4082_scale_robustness_on_surviving_observation_class.py,Output/4082/decision.json,"scale_k=[6, 8, 10, 12]; timing_lag_sec=[0.05, 0.1, 0.15]; robust=14/15",yes,Robustness is evaluated within the 4081c any-scale survivor class.
diffuse phenotype,mypaper2/Latex/00_abstract.tex:12,Experiment/run_4084_spatial_taxonomy_of_t1_local_nonaffine_signal.py,Output/4084/decision.json,diffuse all_tangential support=13/14,yes,Spatial taxonomy is descriptive; it does not create a new T1 target.
near-pre descriptive support,mypaper2/Latex/00_abstract.tex:13,Experiment/run_4085_event_phase_profile_of_t1_signal.py,Output/4085/decision.json,all_tangential near_pre support=8/14,yes,Descriptive event-aligned timing only; 4100 state-matched event-locality failed.
state-matching distance,mypaper2/00_review/007.md:323,Experiment/run_4100_state_matched_event_locality_challenge.py:1038,Output/4100/decision.json,max_match_distance=0.75; n_matches=5; exclusion=0.75 s; result=fail_event_timing_not_beyond_continuous_state,yes,"Uses same-observation matching in C,dCdt,R robust state space."
history window,mypaper2/00_review/007.md:324,Experiment/run_4121_same_current_state_different_history.py:129,Output/4121/decision.json,h=0.5 s; state_distance=0.5,yes,"History route remains observation-specific, not a stable memory mechanism."
history-angle threshold,mypaper2/00_review/007.md:325,Experiment/run_4121_same_current_state_different_history.py:131,Output/4121/decision.json,90.0 deg,yes,Used only in the 4121 history boundary branch.
